PMCID	Abbreviations	Abstract	Acknowledgments	Article	Author Contributions	Case study	Competing Interests	Conclusion	Discussion	Figure	Introduction	Methods	References	Results	Supplementary material	Table	Title	
PMC5356656	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC5120144	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC6025147	0	3	0	0	0	0	0	0	13	0	0	8	0	4	0	0	0	
PMC6527603	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC3250394	0	1	0	0	0	0	0	0	2	0	3	0	0	3	0	0	0	
PMC5292597	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	
PMC6336924	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	
PMC4993369	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
PMC4005560	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC3328356	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	
PMC4165380	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	
PMC6603389	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC6399320	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	
PMC3773001	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC5769804	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	
PMC2945762	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
PMC5536666	0	1	0	0	0	0	0	1	4	0	2	0	0	2	0	0	0	
PMC4697028	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC5622317	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC3927800	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC5143348	0	0	0	0	0	0	0	0	2	0	0	0	0	9	0	0	0	
PMC5989073	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	
PMC6401460	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	
PMC3558196	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	
PMC4938210	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	
PMC5103452	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC4937074	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC5618765	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
PMC4653784	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC6006994	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC5365325	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC6017037	0	0	0	0	0	0	0	0	0	0	0	2	0	8	0	0	0	
PMC4633481	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC6459237	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC4871476	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	
PMC5941336	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	
PMC3738441	0	0	0	0	0	0	0	0	0	0	0	1	0	4	3	0	0	
PMC5726036	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC4860340	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	
PMC4768401	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
PMC4823716	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC5640951	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC6128957	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC5552686	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC4755865	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	
PMC3576414	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
PMC6117095	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	
PMC5259890	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	
PMC4002429	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	
PMC2442876	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	
PMC3893179	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
PMC3688979	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
